id,name,lastname,email,gender,age,phone,document,documentNumber,isClient,district,qualification,isIndependent,occupation,company,sector,annualSalary,hasDebt,totalDebtAmount,hasBlacklist,creditScore,creditLine,requestedAmount,term,quota,creditType,agreedAmount,interestRate,authorizer,store,timestamp
11,Les,Pilkington,lpilkingtona@360.cn,Male,33,,DNI,42886388,true,,APROBADO,true,Operator,null,null,981427,true,78355,false,0.51,59619,70745,33,2143,PERSONAL,287017,0.31,lpilkingtona,Ate,2023-07-30 23:46:27
12,Fredia,Cromley,fcromleyb@spiegel.de,Female,26,221 782 0487,PASSPORT,65102449,false,Comas,INVESTIGADO,false,Information Systems Manager,Digitube,Consumer Services,604172,true,15009,false,0.15,2797,217702,38,5729,ESTUDIOS,178615,0.36,fcromleyb,Lince,2023-07-30 23:46:27
13,Killy,Weben,kwebenc@reference.com,Male,31,850 179 7379,DNI,42400920,false,San Miguel,APROBADO,true,Office Assistant II,null,null,818384,true,35680,false,0.34,25236,192354,38,5061,ESTUDIOS,69781,0.55,,Lurigancho,2023-07-30 23:46:27
14,Ebenezer,Redparth,eredparthd@jimdo.com,Bigender,47,929 181 3148,PASSPORT,39054009,false,El agustino,APROBADO,true,Statistician II,null,null,398622,false,null,true,0.66,25241,44715,60,745,HIPOTECARIO,209616,0.47,eredparthd,El agustino,2023-07-30 23:46:27
15,Winna,Cudworth,wcudworthe@etsy.com,Female,49,392 637 2307,DNI,29305101,true,Barranco,APROBADO,true,Account Executive,null,null,396005,false,null,false,0.94,70062,116887,55,2125,COMERCIAL,5213,0.33,wcudworthe,Lince,2023-07-30 23:46:27
16,Guthry,Aitkin,gaitkinf@who.int,Male,49,772 870 5511,DNI,76257503,false,Los olivos,INVESTIGADO,true,Help Desk Operator,null,null,871969,false,null,true,0.48,75803,201858,44,4587,ESTUDIOS,185108,0.21,gaitkinf,San bartolo,2023-07-30 23:46:27
17,Kellie,Goakes,,Female,52,106 490 5346,DNI,92805434,false,Chaclacayo,APROBADO,false,Senior Quality Engineer,Voomm,Consumer Services,460286,true,46989,false,0.39,40901,62391,51,1223,COMERCIAL,106833,0.37,kgoakesg,Lince,2023-07-30 23:46:27
18,Junina,Lindermann,jlindermannh@themeforest.net,Female,25,938 473 1752,PASSPORT,20445116,true,San borja,APROBADO,false,Social Worker,Dabvine,Basic Industries,271390,true,52976,true,0.28,86719,167064,37,4515,PERSONAL,186295,0.58,jlindermannh,Chorrillos,2023-07-30 23:46:27
19,Giuditta,Misselbrook,,Female,31,582 947 4670,CE,96601800,true,Los olivos,APROBADO,true,Chemical Engineer,null,null,382941,true,43335,false,0.28,66075,287982,21,13713,VEHICULAR,155214,0.63,gmisselbrooki,Punta hermosa,2023-07-30 23:46:27
20,Charlean,MacFadzean,cmacfadzeanj@a8.net,Female,50,384 100 4257,PASSPORT,93775535,true,Cieneguilla,APROBADO,false,Compensation Analyst,Skyndu,Finance,619899,false,null,true,0.78,91279,299582,23,13025,HIPOTECARIO,64106,0.24,,Lurín,2023-07-30 23:46:27
21,Boy,Jays,bjaysk@baidu.com,Male,43,758 406 4855,PASSPORT,23097220,false,Punta hermosa,RECHAZADO,false,General Manager,Mycat,n/a,987522,true,24437,true,0.34,11990,227861,39,5842,PERSONAL,118572,0.57,bjaysk,San Luis,2023-07-30 23:46:27
22,Marna,Harvie,mharviel@hp.com,Female,39,,DNI,74815464,false,San isidro,APROBADO,false,Administrative Officer,Youspan,Consumer Services,121255,false,null,false,0.39,14126,97022,46,2109,HIPOTECARIO,114255,0.22,mharviel,San Miguel,2023-07-30 23:46:27
23,Rourke,Mugridge,rmugridgem@techcrunch.com,Male,52,959 188 5406,DNI,53663687,true,Miraflores,INVESTIGADO,false,Senior Financial Analyst,Rhyzio,Health Care,54697,false,null,true,0.85,75467,81490,16,5093,VEHICULAR,249642,0.13,,Cercado de Lima,2023-07-30 23:46:27
24,Elston,Pauler,epaulern@youtube.com,Male,40,213 983 0053,CE,14142656,false,Santa Rosa,INVESTIGADO,true,Analog Circuit Design manager,null,null,914017,false,null,false,0.14,66666,92683,52,1782,VEHICULAR,162490,0.36,,Santa Rosa,2023-07-30 23:46:27
25,Wandis,Goosnell,wgoosnello@skyrock.com,Female,50,334 575 2643,CE,48650015,true,Lurín,INVESTIGADO,true,Information Systems Manager,null,null,405210,true,18685,true,0.67,80748,237384,51,4654,PERSONAL,175591,0.4,wgoosnello,Jesús maría,2023-07-30 23:46:27
26,Peterus,Peal,ppealp@cafepress.com,Male,28,783 373 3632,DNI,11705967,true,Punta negra,RECHAZADO,false,Product Engineer,Myworks,n/a,855477,false,null,false,0.72,11965,166781,14,11912,VEHICULAR,175533,0.55,ppealp,Punta negra,2023-07-30 23:46:27
27,Morgun,Maly,,Male,24,173 856 9344,CE,80548373,true,Surquillo,RECHAZADO,true,Senior Quality Engineer,null,null,668002,false,null,true,0.6,5643,6864,23,298,PERSONAL,55799,0.1,mmalyq,Magdalena del mar,2023-07-30 23:46:27
28,Brit,Batalle,bbataller@about.me,Male,31,136 233 8659,PASSPORT,31807853,true,Rímac,INVESTIGADO,false,Administrative Assistant I,Linktype,,672464,true,71300,false,0.48,37712,15394,19,810,HIPOTECARIO,209494,0.12,bbataller,Cercado de Lima,2023-07-30 23:46:27
29,Cissiee,Milson,cmilsons@freewebs.com,Female,50,269 172 3109,CE,89332376,false,Cercado de Lima,RECHAZADO,true,Quality Control Specialist,null,null,746634,false,null,true,0.12,25692,246437,16,15402,PERSONAL,106147,0.25,cmilsons,Santa Anita,2023-07-30 23:46:27
30,Thorndike,Boyson,tboysont@1688.com,Male,38,102 277 9991,DNI,85424388,true,Pueblo libre,APROBADO,true,Editor,null,null,751135,false,null,false,0.21,32926,99971,47,2127,COMERCIAL,267228,0.52,tboysont,Santa Anita,2023-07-30 23:46:27
31,Roldan,Balmadier,rbalmadieru@scribd.com,Male,29,619 259 6974,PASSPORT,41526732,false,Lince,INVESTIGADO,false,Nurse Practicioner,Gabtype,Consumer Services,54719,true,60912,false,0.83,90588,183075,33,5547,HIPOTECARIO,288802,0.34,,Carabayllo,2023-07-30 23:46:27
32,Louella,Preskett,lpreskettv@prlog.org,Female,52,,CE,36312108,true,,APROBADO,false,Accountant III,Fivechat,Health Care,639353,false,null,true,0.78,47918,201389,50,4027,COMERCIAL,233501,0.38,lpreskettv,Villa Maria del Triunfo,2023-07-30 23:46:27
33,Sibyl,Ausher,sausherw@usda.gov,Female,28,632 338 8535,PASSPORT,40718281,true,Chorrillos,RECHAZADO,false,Statistician II,Topicware,Technology,875908,false,null,true,0.69,53805,213678,35,6105,COMERCIAL,91843,0.34,sausherw,San bartolo,2023-07-30 23:46:27
34,Ana,Verrick,averrickx@trellian.com,Female,57,649 239 2010,PASSPORT,76219320,false,Independencia,RECHAZADO,true,Computer Systems Analyst III,null,null,139877,false,null,false,0.61,82577,133838,41,3264,ESTUDIOS,227533,0.58,averrickx,Los olivos,2023-07-30 23:46:27
35,Carter,Woolfitt,cwoolfitty@google.de,Male,43,,PASSPORT,81052379,false,Punta hermosa,APROBADO,true,Social Worker,null,null,934308,false,null,true,0.95,32143,274139,49,5594,PERSONAL,175364,0.11,cwoolfitty,Lurigancho,2023-07-30 23:46:27
36,Walt,Gwin,wgwinz@omniture.com,Non-binary,35,454 410 7269,CE,81166276,true,Comas,APROBADO,true,Technical Writer,null,null,866956,true,28147,true,0.16,42584,231933,17,13643,COMERCIAL,162652,0.61,wgwinz,San Luis,2023-07-30 23:46:27
37,Zeke,Rate,zrate10@github.com,Male,61,338 486 5927,DNI,28245137,false,Santa Anita,APROBADO,true,Technical Writer,null,null,656560,false,null,true,0.71,2635,28079,29,968,COMERCIAL,237159,0.43,zrate10,Lince,2023-07-30 23:46:27
38,Elizabet,Dunn,edunn11@answers.com,Female,24,405 672 2217,DNI,73868323,true,,RECHAZADO,false,Community Outreach Specialist,Zooxo,Basic Industries,16553,true,48140,false,0.83,17001,209404,55,3807,VEHICULAR,178959,0.27,edunn11,Comas,2023-07-30 23:46:27
39,Leilah,Bogey,lbogey12@cnn.com,Female,62,,DNI,78117174,false,San Miguel,INVESTIGADO,false,Associate Professor,Realcube,Energy,56857,true,78862,false,0.83,78605,64663,45,1436,VEHICULAR,177449,0.32,lbogey12,Ate,2023-07-30 23:46:27
40,Wenona,Gratrix,wgratrix13@163.com,Bigender,60,750 912 7953,PASSPORT,59797878,false,Cieneguilla,INVESTIGADO,false,Financial Advisor,Brainbox,n/a,517516,true,77282,true,0.12,62181,221785,45,4928,COMERCIAL,66026,0.61,wgratrix13,Chorrillos,2023-07-30 23:46:27
41,Shermie,Easom,seasom14@csmonitor.com,Male,31,470 883 2289,CE,84534312,true,Lurigancho,RECHAZADO,true,Business Systems Development Analyst,null,null,83838,true,57060,false,0.63,56259,293493,52,5644,VEHICULAR,128476,0.5,,Lurín,2023-07-30 23:46:27
42,Danica,Buddleigh,dbuddleigh15@telegraph.co.uk,Female,37,109 883 6733,PASSPORT,41145123,true,Miraflores,APROBADO,false,Safety Technician II,Livetube,Finance,453690,false,null,false,0.91,44707,16637,29,573,COMERCIAL,171624,0.35,dbuddleigh15,Breña,2023-07-30 23:46:27
43,Ninnette,Isacsson,nisacsson16@tinypic.com,Non-binary,60,447 656 7264,PASSPORT,62884087,false,Punta negra,INVESTIGADO,true,Cost Accountant,null,null,601186,false,null,true,0.34,85906,50358,37,1361,PERSONAL,128770,0.43,nisacsson16,Villa Maria del Triunfo,2023-07-30 23:46:27
44,Letta,Cumo,lcumo17@gnu.org,Female,38,858 806 7455,DNI,31277521,false,Cercado de Lima,APROBADO,false,Research Assistant I,Zooxo,,803279,false,null,false,0.67,4673,234464,22,10657,ESTUDIOS,163763,0.51,lcumo17,Ate,2023-07-30 23:46:27
45,Nickie,Guilloneau,nguilloneau18@vimeo.com,Male,19,379 735 7643,CE,83171015,true,Puente piedra,APROBADO,true,Graphic Designer,null,null,396634,false,null,false,0.96,44432,241039,28,8608,PERSONAL,168773,0.62,nguilloneau18,San isidro,2023-07-30 23:46:27
46,Alexandre,Blakden,,Male,61,802 184 5365,CE,93584799,true,,INVESTIGADO,false,VP Accounting,Brainsphere,,338044,false,null,false,0.98,12642,39542,44,898,PERSONAL,259078,0.44,ablakden19,El agustino,2023-07-30 23:46:27
47,Giff,Beston,gbeston1a@wisc.edu,Male,40,518 387 4699,PASSPORT,36345620,false,Ancón,RECHAZADO,true,Structural Engineer,null,null,39847,true,60035,false,0.81,29431,223828,28,7993,VEHICULAR,248226,0.47,gbeston1a,Barranco,2023-07-30 23:46:27
48,Bobette,Darben,bdarben1b@ebay.co.uk,Female,29,454 697 2158,PASSPORT,18172647,true,Breña,RECHAZADO,false,Teacher,Jabbersphere,Consumer Services,459181,false,null,true,0.12,30581,91283,12,7606,HIPOTECARIO,88380,0.11,,Lince,2023-07-30 23:46:27
49,Cazzie,Dionsetti,cdionsetti1c@hugedomains.com,Male,43,716 363 8124,PASSPORT,36721048,false,Santa María del Mar,RECHAZADO,true,Budget/Accounting Analyst II,null,null,357626,false,null,false,0.28,25164,136342,49,2782,ESTUDIOS,128443,0.64,cdionsetti1c,Puente piedra,2023-07-30 23:46:27
50,Roobbie,Tran,rtran1d@washingtonpost.com,Female,41,486 857 2116,DNI,94779751,true,Lurín,INVESTIGADO,false,Biostatistician II,Fivespan,Capital Goods,728282,true,10468,true,0.21,82475,27439,48,571,ESTUDIOS,51294,0.12,rtran1d,Carabayllo,2023-07-30 23:46:27
51,Bebe,Durrand,,Female,30,966 599 5322,DNI,58381165,true,Chorrillos,APROBADO,true,Paralegal,null,null,792530,true,18864,false,0.85,28484,109582,55,1992,HIPOTECARIO,137363,0.26,bdurrand1e,Comas,2023-07-30 23:46:27
52,Cyrillus,Jozwicki,cjozwicki1f@csmonitor.com,Male,42,669 321 3718,PASSPORT,16236340,false,,INVESTIGADO,false,Senior Developer,BlogXS,Health Care,126419,true,60816,true,1.0,7276,35497,12,2958,PERSONAL,182965,0.26,,Barranco,2023-07-30 23:46:27
53,Gilly,Rosnau,grosnau1g@xinhuanet.com,Female,52,384 348 2478,PASSPORT,61189885,true,Punta negra,INVESTIGADO,false,Programmer Analyst III,Babbleblab,Finance,747579,true,1077,false,0.51,21608,158906,57,2787,HIPOTECARIO,16804,0.25,grosnau1g,San Juan de Miraflores,2023-07-30 23:46:27
54,Maisie,Paolotto,mpaolotto1h@samsung.com,Female,44,380 862 2059,DNI,54083240,false,Miraflores,RECHAZADO,false,Data Coordinator,Ailane,Capital Goods,715428,true,45512,true,0.86,16966,16381,30,546,HIPOTECARIO,47500,0.28,mpaolotto1h,Pachacámac,2023-07-30 23:46:27
55,Trevor,Pinnijar,,Male,26,953 726 8605,DNI,26448913,false,Villa Maria del Triunfo,INVESTIGADO,true,Food Chemist,null,null,91333,true,42347,true,0.88,36225,249542,19,13133,COMERCIAL,109725,0.22,tpinnijar1i,San Miguel,2023-07-30 23:46:27
56,Marleah,Stemson,,Female,30,904 937 6021,PASSPORT,79571080,false,La molina,RECHAZADO,true,Assistant Media Planner,null,null,349011,false,null,true,0.79,18531,180501,34,5308,PERSONAL,104568,0.22,mstemson1j,Chorrillos,2023-07-30 23:46:27
57,Dulsea,Longmate,dlongmate1k@cnbc.com,Female,59,459 386 7353,CE,27320788,false,El agustino,RECHAZADO,false,Office Assistant II,Teklist,n/a,473769,false,null,true,0.54,75106,79417,15,5294,HIPOTECARIO,7318,0.11,dlongmate1k,San isidro,2023-07-30 23:46:27
58,Hinze,Songest,hsongest1l@sohu.com,Male,20,543 908 6293,CE,61788537,false,Santiago de Surco,RECHAZADO,true,Biostatistician III,null,null,557914,true,27308,true,0.92,3060,180751,26,6951,ESTUDIOS,179954,0.16,hsongest1l,Pucusana,2023-07-30 23:46:27
59,Brigid,Grenfell,bgrenfell1m@examiner.com,Female,47,694 470 9495,PASSPORT,80529836,true,Breña,RECHAZADO,false,Chemical Engineer,Skivee,Technology,219767,true,30581,true,0.95,41103,240382,58,4144,VEHICULAR,182664,0.16,,Comas,2023-07-30 23:46:27
60,Noll,Fozzard,nfozzard1n@xinhuanet.com,Non-binary,59,343 519 3683,DNI,71942703,true,El agustino,APROBADO,false,Chemical Engineer,Devify,n/a,457895,true,12718,false,0.65,96564,67266,42,1601,HIPOTECARIO,16242,0.38,nfozzard1n,San Miguel,2023-07-30 23:46:27
61,Josefa,Lembcke,jlembcke1o@wufoo.com,Genderqueer,62,124 128 7042,DNI,81014650,true,Jesús maría,APROBADO,false,Account Coordinator,Kwilith,,760020,false,null,true,0.24,95013,101501,27,3759,COMERCIAL,238157,0.53,,San bartolo,2023-07-30 23:46:27
62,Edmon,Larkin,elarkin1p@clickbank.net,Male,27,747 841 0249,PASSPORT,62245199,false,La victoria,RECHAZADO,true,Teacher,null,null,489769,true,96482,false,0.44,50957,293132,35,8375,COMERCIAL,239944,0.28,elarkin1p,Cieneguilla,2023-07-30 23:46:27
63,Phip,Philpault,pphilpault1q@odnoklassniki.ru,Male,35,758 820 3016,PASSPORT,82011663,true,Santiago de Surco,APROBADO,true,Account Representative II,null,null,234269,true,99227,true,0.56,41885,290892,38,7655,VEHICULAR,61679,0.33,pphilpault1q,Los olivos,2023-07-30 23:46:27
64,Linda,De Domenico,ldedomenico1r@dion.ne.jp,Female,40,867 770 2304,CE,39164600,true,Lince,APROBADO,true,Biostatistician I,null,null,516946,true,40623,true,0.87,60997,189876,45,4219,COMERCIAL,220842,0.47,ldedomenico1r,Barranco,2023-07-30 23:46:27
65,Raleigh,Tilley,,Male,62,285 752 1529,PASSPORT,17484373,false,Santa María del Mar,RECHAZADO,true,Chemical Engineer,null,null,249919,false,null,true,0.28,23255,31478,30,1049,COMERCIAL,139852,0.31,rtilley1s,Lurín,2023-07-30 23:46:27
66,Birgit,Sheran,bsheran1t@51.la,Female,42,109 956 6695,PASSPORT,38384654,false,Santa Anita,INVESTIGADO,false,Graphic Designer,Eimbee,n/a,211850,false,null,false,0.83,12783,115808,20,5790,ESTUDIOS,126700,0.41,bsheran1t,Barranco,2023-07-30 23:46:27
67,Baudoin,Erley,,Male,20,690 970 9778,CE,12249205,false,Comas,INVESTIGADO,true,Database Administrator I,null,null,764546,true,70440,false,0.36,50934,91310,53,1722,VEHICULAR,161831,0.2,berley1u,Comas,2023-07-30 23:46:27
68,Glenine,Espina,gespina1v@163.com,Female,33,763 248 6335,PASSPORT,81639560,true,Rímac,APROBADO,true,Data Coordinator,null,null,44218,false,null,false,0.39,24363,89741,52,1725,HIPOTECARIO,220359,0.53,gespina1v,Cieneguilla,2023-07-30 23:46:27
69,Harper,Cracoe,hcracoe1w@instagram.com,Male,64,640 225 0780,CE,42101976,false,Jesús maría,RECHAZADO,true,Systems Administrator IV,null,null,175944,true,67722,false,0.96,98336,262615,23,11418,VEHICULAR,100413,0.45,hcracoe1w,Pucusana,2023-07-30 23:46:27
70,Alis,Clac,aclac1x@xing.com,Female,35,721 152 0295,PASSPORT,82161178,false,Ancón,APROBADO,true,Biostatistician I,null,null,157540,true,10295,true,0.18,9911,113108,28,4039,ESTUDIOS,79393,0.29,aclac1x,Pueblo libre,2023-07-30 23:46:27
71,Eirena,Scane,escane1y@usa.gov,Female,28,260 975 3833,PASSPORT,18418255,false,Villa el Salvador,RECHAZADO,false,Computer Systems Analyst IV,Realbuzz,Basic Industries,689238,true,10750,true,0.32,76805,227744,37,6155,PERSONAL,291702,0.65,escane1y,San Luis,2023-07-30 23:46:27
72,Janie,Castellani,,Female,36,393 221 6984,DNI,88402951,false,Santa Rosa,APROBADO,true,Information Systems Manager,null,null,15970,true,30165,true,0.27,30573,131916,12,10993,PERSONAL,276725,0.26,jcastellani1z,San borja,2023-07-30 23:46:27
73,Philippe,Bemrose,pbemrose20@gnu.org,Female,31,295 319 0294,CE,97631708,false,San isidro,INVESTIGADO,true,GIS Technical Architect,null,null,645317,true,79123,true,0.28,32146,124785,20,6239,COMERCIAL,204925,0.57,pbemrose20,San Juan de Lurigancho,2023-07-30 23:46:27
74,Tarra,Vaulkhard,tvaulkhard21@cyberchimps.com,Bigender,62,772 659 1513,CE,70508175,true,Santa Rosa,RECHAZADO,true,Systems Administrator I,null,null,813798,true,53761,true,0.41,11104,27083,27,1003,COMERCIAL,171647,0.3,tvaulkhard21,San Juan de Miraflores,2023-07-30 23:46:27
75,Deeanne,Crossgrove,dcrossgrove22@bluehost.com,Female,21,195 612 5259,PASSPORT,49407628,false,Santa María del Mar,APROBADO,true,Media Manager II,null,null,591878,true,42063,true,0.92,70607,141922,52,2729,COMERCIAL,109214,0.26,dcrossgrove22,Santiago de Surco,2023-07-30 23:46:27
76,Egor,Gammet,egammet23@admin.ch,Male,24,,CE,23956809,true,Ancón,INVESTIGADO,true,Staff Scientist,null,null,549373,false,null,false,0.32,68244,61699,12,5141,COMERCIAL,178092,0.34,egammet23,Lurigancho,2023-07-30 23:46:27
77,Artur,Leyninye,aleyninye24@bluehost.com,Male,44,242 416 1397,DNI,87058073,false,Los olivos,RECHAZADO,false,Junior Executive,Feedfish,,465848,true,88536,false,0.24,88386,51738,42,1231,PERSONAL,68925,0.36,aleyninye24,Pueblo libre,2023-07-30 23:46:27
78,Liesa,Mallinson,lmallinson25@naver.com,Female,22,703 200 4870,CE,68833402,true,Puente piedra,RECHAZADO,true,Actuary,null,null,375451,true,67054,false,0.69,19146,98365,22,4471,COMERCIAL,293159,0.29,lmallinson25,San Juan de Miraflores,2023-07-30 23:46:27
79,Ole,Hills,ohills26@sphinn.com,Male,34,401 468 8619,PASSPORT,74072229,true,Carabayllo,RECHAZADO,true,Associate Professor,null,null,294924,true,2043,false,0.53,73627,215325,17,12666,HIPOTECARIO,103513,0.53,ohills26,Chaclacayo,2023-07-30 23:46:27
80,Fifine,Poinsett,fpoinsett27@posterous.com,Female,23,,DNI,12277179,false,Punta hermosa,INVESTIGADO,true,Structural Analysis Engineer,null,null,938136,true,78572,false,0.28,50908,100246,31,3233,HIPOTECARIO,202443,0.56,fpoinsett27,Punta negra,2023-07-30 23:46:27
81,Barth,Charteris,bcharteris28@answers.com,Male,29,306 790 2175,DNI,32312710,false,Santa María del Mar,INVESTIGADO,false,Financial Analyst,Kwinu,Energy,321706,false,null,false,0.35,61874,167489,21,7975,HIPOTECARIO,129694,0.65,bcharteris28,El agustino,2023-07-30 23:46:27
82,Klarika,Houston,khouston29@deviantart.com,Female,41,508 943 5088,DNI,54109826,true,Pueblo libre,INVESTIGADO,false,Business Systems Development Analyst,Browsedrive,Consumer Non-Durables,713925,true,73722,false,0.54,50024,103538,55,1882,COMERCIAL,243216,0.2,khouston29,Cercado de Lima,2023-07-30 23:46:27
83,Tamar,Cheetam,tcheetam2a@dedecms.com,Female,53,332 650 7570,DNI,96230068,false,Breña,INVESTIGADO,false,VP Marketing,DabZ,Health Care,72879,false,null,false,0.93,90013,197048,35,5629,PERSONAL,29283,0.52,tcheetam2a,Lurigancho,2023-07-30 23:46:27
84,Ripley,Barker,rbarker2b@berkeley.edu,Male,24,429 188 8072,PASSPORT,52715902,true,,INVESTIGADO,true,Clinical Specialist,null,null,756097,true,45376,true,0.13,45665,51638,56,922,HIPOTECARIO,184095,0.16,rbarker2b,Punta negra,2023-07-30 23:46:27
85,Camel,Lovewell,clovewell2c@yahoo.com,Female,28,,PASSPORT,89858048,true,Santa Rosa,RECHAZADO,false,Software Engineer I,Rhynyx,Finance,902004,false,null,false,0.3,83722,272337,20,13616,PERSONAL,162280,0.15,,Ancón,2023-07-30 23:46:27
86,Xavier,Keuning,,Male,50,120 937 5084,CE,32762016,false,Chorrillos,RECHAZADO,false,VP Product Management,Thoughtbridge,n/a,515814,true,20556,false,0.31,99086,264452,21,12592,COMERCIAL,285852,0.15,xkeuning2d,Miraflores,2023-07-30 23:46:27
87,Casandra,Seif,cseif2e@ebay.com,Female,36,660 111 8486,PASSPORT,98586367,false,Rímac,APROBADO,false,Tax Accountant,Voolith,Technology,319205,true,45429,false,0.17,56416,178545,31,5759,VEHICULAR,218596,0.55,cseif2e,San borja,2023-07-30 23:46:27
88,Somerset,Bourthoumieux,,Male,39,520 786 6318,CE,17787668,true,La victoria,APROBADO,true,Quality Engineer,null,null,470283,true,33624,false,0.57,27030,178540,16,11158,COMERCIAL,6268,0.6,sbourthoumieux2f,Ancón,2023-07-30 23:46:27
89,Scotty,Briiginshaw,sbriiginshaw2g@slideshare.net,Male,60,770 959 4154,PASSPORT,40890522,false,La victoria,INVESTIGADO,false,Staff Scientist,Yakijo,Technology,698069,true,21768,true,0.13,84239,134230,55,2440,COMERCIAL,77500,0.57,sbriiginshaw2g,San Martin de Porres,2023-07-30 23:46:27
90,Arty,Folger,afolger2h@opensource.org,Male,47,808 558 3576,PASSPORT,10604922,false,Rímac,INVESTIGADO,false,Engineer II,Roomm,,112161,false,null,false,0.41,21960,161680,15,10778,COMERCIAL,120456,0.37,afolger2h,Santa Anita,2023-07-30 23:46:27
91,Skyler,Trunkfield,strunkfield2i@tripod.com,Male,48,,DNI,14082831,true,Breña,APROBADO,false,Safety Technician III,Kazio,,624548,false,null,true,0.62,95209,146591,33,4442,PERSONAL,206432,0.55,strunkfield2i,Carabayllo,2023-07-30 23:46:27
92,Aldrich,Francello,afrancello2j@storify.com,Male,50,393 680 9747,PASSPORT,28490965,false,Independencia,INVESTIGADO,false,Social Worker,Thoughtbeat,Finance,644242,false,null,false,0.11,9777,275590,25,11023,VEHICULAR,98414,0.56,afrancello2j,San borja,2023-07-30 23:46:27
93,Berti,Streets,bstreets2k@blinklist.com,Female,56,264 435 9431,DNI,36975852,false,San borja,INVESTIGADO,true,VP Accounting,null,null,576426,true,60964,true,0.9,93909,290294,16,18143,ESTUDIOS,217391,0.48,bstreets2k,San Luis,2023-07-30 23:46:28
94,Revkah,Tomalin,rtomalin2l@goodreads.com,Female,45,455 336 4002,CE,48147211,true,La molina,APROBADO,true,Data Coordinator,null,null,509844,false,null,true,0.77,37506,136981,58,2361,COMERCIAL,284853,0.17,,Villa el Salvador,2023-07-30 23:46:28
95,Karlan,Pelham,kpelham2m@sitemeter.com,Male,39,,DNI,83391328,true,Barranco,APROBADO,false,General Manager,Feednation,Basic Industries,485257,false,null,false,0.47,80590,80198,33,2430,HIPOTECARIO,241629,0.46,kpelham2m,El agustino,2023-07-30 23:46:28
96,Faber,Norcop,fnorcop2n@businesswire.com,Genderfluid,28,673 990 0223,DNI,39882069,false,San Miguel,RECHAZADO,true,Account Coordinator,null,null,573944,false,null,false,0.1,71603,26182,46,569,VEHICULAR,98691,0.52,fnorcop2n,El agustino,2023-07-30 23:46:28
